m,y,d,t
Jul.,16,10,71.8F
Jun.,13,9,56.6F
Dec.,99,3,46F
Feb.,17,15,49.4F
Jan.,11,18,44.2F
Jul.,14,15,62.7F
Mar.,13,28,34.1F
Jun.,18,15,-167.5F
Dec.,18,12,34.2F
Jan.,11,6,171.4F
Oct.,00,16,52.2F
Apr.,11,5,49F
Nov.,02,18,45.1F
Sep.,18,30,49.6F
Jun.,13,15,59.8F
Jun.,05,23,76.8F
Jan.,07,12,48.9F
Aug.,99,29,62.5F
Dec.,05,8,40.1F
Sep.,99,10,67F
Jul.,10,22,66.8F
Sep.,02,23,53.3F
Jun.,97,3,62.8F
May,99,3,57.7F
Jun.,12,16,60F
Jun.,18,10,67.7F
Mar.,03,17,43.9F
Feb.,02,17,NA
Nov.,15,23,35.5F
Nov.,15,9,57.9F
Mar.,07,27,51.3F
Mar.,00,16,46.9F
Jul.,13,2,61.8F
Mar.,98,4,184.3F
May,15,5,60.6F
Apr.,18,4,50.7F
Oct.,04,9,48.3F
Jun.,07,1,-167F
May,02,19,58.8F
Jul.,17,11,64.1F
Mar.,20,31,39.6F
Sep.,16,29,61.9F
Aug.,10,10,64.2F
Dec.,99,28,37F
Nov.,07,18,36.5F
Feb.,16,29,35.4F
Aug.,06,3,60.7F
Mar.,16,11,39.5F
Mar.,96,9,40.7F
Aug.,11,19,63.1F
Oct.,10,13,44F
May,97,8,-158.7F
Dec.,16,20,33.1F
May,17,5,48.6F
May,98,16,62.6F
Apr.,10,7,54.7F
Feb.,13,15,39.7F
Mar.,98,15,46.8F
Jun.,13,17,63.3F
Jan.,20,8,51.2F
Sep.,14,14,59.2F
Sep.,16,14,75.1F
Jul.,96,15,64.6F
Apr.,96,5,43.3F
Oct.,06,11,61.5F
Nov.,96,9,47F
Jan.,99,29,32.5F
Nov.,18,23,159.5F
Oct.,06,31,53.1F
Mar.,05,13,40.4F
Nov.,07,2,NA
Mar.,15,21,42.8F
May,97,25,52.8F
Jul.,05,8,58.8F
Nov.,17,23,53.6F
May,97,31,57F
May,15,17,53.6F
Jun.,08,9,67.6F
Sep.,04,1,163.8F
Aug.,99,9,65.5F
Jul.,08,27,72F
Jan.,01,2,49.2F
Sep.,05,27,NA
Aug.,04,20,62.1F
Sep.,05,26,59.5F
Nov.,17,11,44.1F
Nov.,96,30,40.1F
Sep.,96,10,56.4F
Dec.,09,30,44.5F
Apr.,04,26,NA
Jul.,08,21,54.7F
Apr.,03,11,41F
Jul.,18,22,70.6F
Apr.,10,13,48.8F
Jul.,98,24,63F
Jan.,00,16,38.9F
Jun.,03,20,63.7F
Oct.,16,3,55F
Nov.,06,3,44F
Nov.,97,26,45.2F
Mar.,17,19,-171.8F
Nov.,04,14,-197.2F
Jul.,97,14,66.4F
Nov.,15,25,42.4F
May,98,26,55.2F
Sep.,95,21,56.3F
Jan.,96,3,32.5F
Oct.,19,30,40.2F
Jun.,06,22,57.2F
Feb.,98,28,41.9F
Feb.,00,17,37.9F
Oct.,17,2,60F
Jul.,04,28,66.5F
Jan.,05,7,51.8F
Mar.,17,26,48F
Jun.,02,6,59.8F
Dec.,17,20,44.7F
Jan.,13,1,43.9F
May,96,27,52.5F
Mar.,17,13,46.1F
Sep.,96,25,56.4F
Dec.,99,9,46.2F
Nov.,00,27,44.4F
May,15,4,59.5F
Sep.,95,22,58F
Aug.,16,1,61.6F
Dec.,05,14,NA
Jan.,03,23,43.5F
Nov.,98,7,43.8F
Feb.,16,1,51.7F
Aug.,12,24,64.6F
Aug.,15,13,72.3F
Apr.,18,2,48.7F
Feb.,11,20,NA
Aug.,16,22,65.1F
Apr.,20,23,59.7F
Sep.,16,4,64.5F
Jul.,09,11,59.6F
Dec.,11,28,42.2F
Jul.,01,30,74.5F
Aug.,17,3,67.6F
Jul.,14,4,70.1F
May,08,21,55.2F
Jun.,15,18,58.7F
Jul.,06,28,70.4F
Mar.,01,17,-193.1F
Jul.,08,8,59F
Jul.,18,17,69F
Feb.,02,2,53.7F
Dec.,19,13,42.2F
May,06,5,65F
Sep.,01,7,59.7F
Jan.,11,20,35.6F
Jun.,95,10,50.3F
Jan.,15,14,39.5F
Jan.,09,4,31.5F
May,12,3,52.2F
Apr.,96,13,NA
Jun.,12,11,57.1F
Oct.,17,14,60.2F
Jul.,16,27,65F
May,95,3,61.5F
Apr.,18,12,49.5F
Sep.,11,6,59.6F
Jun.,06,7,57.2F
Apr.,13,16,55.8F
Feb.,17,12,-197.5F
Apr.,02,16,45.9F
Jun.,95,28,73.5F
Jan.,08,30,38.3F
Nov.,97,2,32.6F
Mar.,18,5,44.3F
Feb.,18,7,28.7F
Dec.,98,7,NA
Jan.,17,29,40.2F
Aug.,19,5,70.9F
Nov.,12,4,44.8F
Oct.,12,21,57.3F
Dec.,18,9,47.1F
Aug.,02,7,64F
Apr.,16,11,56.4F
Jun.,06,30,68.3F
Jun.,16,25,58.8F
Jun.,05,3,66.2F
Jan.,12,3,46.1F
Aug.,16,19,65F
Jun.,05,30,64.5F
Dec.,15,21,51.1F
Dec.,02,16,44.6F
Aug.,19,14,60.2F
Jun.,02,2,65.4F
Nov.,98,14,NA
Aug.,01,31,60F
Dec.,08,13,32.1F
Jun.,15,24,60.1F
Sep.,17,5,-187F
Dec.,99,29,37.5F
Sep.,01,6,60.4F
Feb.,11,4,46.6F
Nov.,10,14,193.7F
Mar.,12,1,44.6F
May,13,16,47.8F
Mar.,98,29,58.8F
Apr.,07,24,63.6F
Jun.,01,8,NA
May,16,17,55.5F
May,14,12,-153.9F
Jul.,19,9,58.4F
Mar.,00,12,44.9F
Jun.,11,20,NA
Sep.,14,10,-187.9F
Aug.,07,25,174.2F
Jul.,07,27,64.2F
Dec.,15,3,48.3F
Apr.,14,8,NA
Jun.,08,27,62.7F
Jul.,16,12,61.2F
Jan.,96,8,45.3F
Dec.,99,17,40.8F
Dec.,09,19,15.9F
Oct.,08,30,36.5F
Dec.,10,25,25.2F
Nov.,13,24,40.8F
Jun.,11,14,63.1F
Aug.,04,8,75.3F
Mar.,01,22,-198.4F
Aug.,10,25,60.8F
Jun.,02,27,59.3F
Mar.,08,29,48.2F
Jun.,04,7,68.4F
Aug.,01,6,64.7F
Jul.,02,8,67.2F
May,12,5,46.6F
May,97,24,49.1F
Oct.,99,15,50.9F
Oct.,14,16,58.3F
Oct.,07,29,48.4F
Jan.,03,7,25.9F
Oct.,03,4,52.6F
Dec.,03,25,46.4F
Jul.,11,6,63.5F
Feb.,02,10,47.9F
May,08,29,61.5F
Nov.,04,13,42.6F
Feb.,10,12,24.1F
Oct.,05,15,53.9F
Oct.,11,28,57F
Jul.,17,29,70.3F
Jun.,11,10,54.5F
Jan.,09,3,25.3F
Dec.,06,20,35.1F
Dec.,09,26,39.1F
Jan.,17,26,28F
Oct.,15,6,60.2F
Mar.,12,9,45.6F
Nov.,99,28,48.9F
Oct.,95,27,60.2F
Aug.,03,16,63.9F
Sep.,96,5,58.4F
May,09,30,61.1F
Jan.,20,31,52.2F
Aug.,08,9,63.3F
Aug.,95,5,70.1F
Nov.,02,6,48.1F
Oct.,12,16,50.2F
Aug.,08,18,63.1F
Sep.,13,22,61.4F
Sep.,14,22,56F
Dec.,03,30,35.5F
Oct.,09,17,46.4F
Mar.,01,18,43.7F
Apr.,09,21,53.9F
Nov.,13,9,-169F
May,05,1,69.7F
Jan.,13,7,45.6F
Nov.,95,23,49.5F
Jan.,01,23,47.5F
Jul.,16,18,71.3F
Jun.,13,12,NA
Aug.,00,30,60F
Oct.,06,9,57.5F
Jan.,10,27,26.7F
Aug.,05,2,62.4F
Dec.,03,26,44.8F
Jul.,11,13,56.8F
Jan.,19,13,170.7F
Dec.,95,11,30F
Jun.,05,27,-174.7F
Aug.,96,23,65.2F
Jul.,95,16,63.7F
Apr.,01,17,43.5F
Aug.,04,30,60.1F
Jan.,99,31,33.6F
May,10,19,172.8F
Jun.,14,4,55.6F
Feb.,09,18,33.4F
Jul.,10,20,NA
Feb.,07,13,46.1F
Feb.,99,17,36.1F
May,10,1,52.3F
Jan.,16,23,42.9F
Mar.,97,9,48.6F
Feb.,05,19,37.2F
Aug.,10,14,60.4F
Oct.,99,6,49.9F
Dec.,97,4,34.4F
Aug.,00,10,66F
Feb.,17,19,42.7F
Mar.,10,6,34.7F
Jul.,08,1,68.5F
Jul.,03,8,NA
Jan.,15,26,-151.9F
Apr.,97,12,42.6F
Nov.,12,29,39.9F
Dec.,08,3,35.9F
Oct.,97,19,58.2F
Sep.,04,18,65.4F
Mar.,08,4,38.2F
Oct.,95,14,60.4F
Mar.,97,2,51.6F
Apr.,97,9,50.6F
Feb.,01,10,37.5F
Jun.,00,27,55.9F
Apr.,97,7,41.3F
Nov.,97,4,43.5F
Jan.,15,3,36.6F
May,98,15,65.7F
Aug.,10,23,67.5F
Aug.,13,24,62.7F
Nov.,08,7,49.1F
Oct.,03,18,41.7F
Mar.,20,26,41.9F
Aug.,04,19,65.9F
Jun.,06,11,73.4F
Aug.,08,26,64.4F
Jul.,17,28,63.1F
Sep.,16,18,63.4F
Feb.,16,9,40.6F
Feb.,11,6,48.9F
Jan.,15,22,29.2F
Oct.,12,23,58.1F
Jun.,07,18,64.6F
Aug.,96,11,62.3F
Feb.,02,13,46.9F
May,05,20,62.1F
Oct.,17,27,52.9F
Apr.,01,14,NA
Mar.,02,6,NA
Apr.,15,28,45.5F
Mar.,17,27,51.8F
Apr.,16,22,50.9F
Jun.,04,3,59.1F
Jul.,14,12,61F
Oct.,14,7,54F
Sep.,01,13,56.8F
Mar.,99,2,52.4F
May,18,23,NA
Sep.,18,27,56.1F
Apr.,14,9,49.3F
Dec.,10,23,28.7F
Jun.,95,3,56.3F
Sep.,03,27,58.9F
Mar.,96,2,33.8F
Oct.,95,9,65.2F
Jan.,96,29,28.6F
Apr.,10,17,47.5F
Jan.,09,22,39.1F
Dec.,06,5,55.8F
Jan.,12,22,44.2F
May,10,15,195.5F
Mar.,10,17,47.6F
Oct.,99,13,47.3F
Jun.,02,3,66.4F
Dec.,18,28,33.3F
May,20,9,62.8F
Feb.,97,18,46.4F
Nov.,06,5,47.7F
Dec.,02,9,25.9F
May,11,6,62F
Apr.,16,29,44.5F
Feb.,20,14,45.5F
Jun.,13,26,56.4F
Apr.,01,29,54.3F
Jan.,16,16,36.6F
Oct.,97,20,49.5F
Apr.,09,2,52.6F
Jan.,18,1,43.1F
Apr.,01,7,49F
May,19,20,NA
Apr.,03,24,60.1F
Oct.,98,1,57.2F
Feb.,96,15,-196.4F
Feb.,17,2,49.9F
Nov.,04,16,48.9F
Mar.,97,24,45.5F
Dec.,05,23,45.1F
Mar.,16,9,40.7F
Aug.,08,15,59.7F
Nov.,11,11,43.8F
Nov.,03,11,40.7F
Dec.,10,26,32.9F
Oct.,10,3,65.7F
Dec.,18,21,51.3F
May,08,12,65F
Sep.,11,30,64.7F
Mar.,09,20,NA
Jan.,14,13,44.1F
Mar.,96,4,33.6F
May,07,13,57.9F
Apr.,04,30,59.4F
Jan.,14,16,45.8F
Sep.,08,5,60.9F
Jan.,98,14,47.5F
Jul.,19,27,66.1F
Jan.,10,12,30.7F
May,12,13,196.8F
Aug.,04,9,77.8F
Sep.,01,4,57.3F
Feb.,18,1,37.8F
Mar.,95,16,41.2F
Mar.,19,17,43.9F
Dec.,03,29,36.8F
Jul.,18,6,70.4F
Apr.,19,18,58.6F
Mar.,13,23,33F
Sep.,13,16,54F
Jun.,17,25,65.1F
Jul.,95,23,61.1F
Apr.,97,5,48.6F
Dec.,19,2,37.3F
May,19,30,62F
Feb.,95,12,48.9F
Jul.,16,1,63F
Jul.,00,21,58.4F
Jul.,03,7,66.8F
Jul.,18,23,75.7F
Feb.,13,22,28.4F
Feb.,10,26,45.7F
Oct.,02,21,53.7F
Jun.,14,13,64F
Dec.,16,16,44.2F
Oct.,08,5,52.8F
Jan.,16,3,43.8F
Jan.,17,1,29.2F
Jun.,04,9,72.6F
Dec.,06,13,48.3F
Aug.,01,27,NA
Oct.,14,11,53.9F
Apr.,99,9,52F
Nov.,07,8,49.3F
Feb.,16,16,31.9F
Mar.,02,28,44.8F
Mar.,15,23,40.5F
Feb.,99,1,39.7F
Feb.,06,28,33.9F
Jan.,10,21,37.1F
Sep.,00,1,60.7F
May,07,23,60.5F
Jul.,19,30,69.7F
May,01,21,56F
Jul.,02,3,57.9F
Oct.,95,8,63.7F
Jan.,19,15,42.2F
May,04,5,NA
Jul.,01,3,70.6F
Jul.,96,29,64.4F
Oct.,19,6,52F
Sep.,11,25,-169.7F
May,96,24,59.8F
Oct.,95,18,171.4F
Mar.,02,16,52.9F
Dec.,09,18,22.5F
Jun.,97,5,67.4F
Dec.,19,17,52.6F
Nov.,07,15,NA
Oct.,17,18,57.8F
Dec.,00,22,31F
Aug.,03,14,67F
Apr.,98,14,NA
Jan.,02,30,51.3F
Nov.,95,30,38.8F
Feb.,16,2,46.9F
Oct.,98,11,-171.9F
Aug.,17,31,59.3F
Apr.,05,24,56.5F
Dec.,05,24,44.6F
Aug.,99,13,61.9F
Dec.,14,22,187F
Jul.,14,29,66.4F
Sep.,00,30,59.3F
Oct.,14,9,58.8F
Jan.,14,5,42.3F
Apr.,03,9,36.9F
Feb.,17,1,NA
Mar.,12,16,NA
Oct.,13,12,43.9F
Dec.,14,20,43.4F
Jul.,02,13,61.6F
Dec.,11,8,45F
Nov.,98,11,42.7F
Nov.,03,9,44.6F
Jul.,97,13,-194F
Jun.,16,11,62.9F
Jun.,04,17,63.8F
Sep.,16,28,65.8F
Jul.,11,1,57.5F
Jun.,96,1,56.4F
Jan.,14,11,40.3F
Nov.,06,25,58F
Nov.,98,26,37.1F
Nov.,16,11,-184.7F
Aug.,97,8,NA
Mar.,13,24,30.1F
Jul.,11,16,61.7F
Mar.,95,4,36.2F
Jun.,17,22,77.5F
Apr.,04,9,43.5F
Oct.,12,9,49.9F
Mar.,12,21,NA
Feb.,13,17,36.2F
Jan.,16,10,44F
Mar.,12,30,45.8F
Nov.,97,3,-171.9F
Nov.,02,30,46.5F
Aug.,00,16,65.6F
Dec.,00,6,52.9F
Jan.,17,21,29.8F
Mar.,08,3,44F
Aug.,14,14,59.2F
May,97,18,61.1F
Jul.,95,15,65.9F
Jan.,00,5,41F
Mar.,18,25,44.8F
Apr.,09,12,55.8F
May,96,31,63.4F
Jan.,05,20,50.7F
Mar.,16,1,36.4F
Oct.,98,22,58.6F
Jun.,15,14,61.5F
Jul.,10,12,186.7F
Dec.,01,29,35.5F
Jan.,01,5,47.1F
May,04,1,57.1F
Sep.,06,28,62.1F
Sep.,96,2,56.1F
Oct.,95,12,62.3F
Sep.,98,21,57.6F
Aug.,00,20,NA
Aug.,06,25,60.3F
Dec.,01,30,33.3F
Jul.,15,10,63.1F
Sep.,98,14,-156.1F
May,04,9,-176.9F
Dec.,96,19,47.5F
Apr.,98,30,51.6F
Jun.,17,4,60.1F
Aug.,19,25,74.4F
Oct.,16,28,54.7F
Nov.,17,19,41.1F
Mar.,96,11,29.8F
Oct.,08,14,-166.9F
Jan.,95,10,-199.6F
Aug.,07,12,63F
Feb.,18,18,152.4F
Jul.,17,13,60.4F
Apr.,96,3,35.7F
Jul.,04,7,61.4F
May,17,11,57F
Nov.,04,6,-172.4F
Jul.,12,20,57.6F
Jul.,09,10,58.4F
Jan.,02,31,49.4F
Oct.,06,29,57.2F
Oct.,13,13,47.4F
Sep.,10,11,64.2F
May,16,28,62.8F
Feb.,16,24,36.6F
May,19,18,-99F
Jan.,99,22,42.1F
Sep.,96,21,50.5F
Dec.,11,1,50.4F
Jun.,16,12,62.8F
Feb.,11,1,28.4F
May,12,12,48.4F
May,15,15,51.7F
Oct.,05,25,59.3F
Oct.,01,10,56.7F
Nov.,02,17,47.1F
Oct.,16,18,-150.9F
Mar.,96,20,41.5F
Aug.,12,5,65.5F
Aug.,17,6,61F
Jan.,17,25,29.4F
May,05,22,57.9F
Dec.,08,9,35.1F
Feb.,16,11,39F
Jul.,14,3,67.6F
Jun.,09,9,59.2F
Sep.,06,23,NA
May,05,13,52F
Jun.,04,1,61.2F
Sep.,15,25,NA
Aug.,14,13,61.2F
Aug.,09,4,66.5F
Jan.,05,6,NA
Mar.,14,26,40.1F
Feb.,08,27,44.9F
Sep.,98,2,NA
May,02,29,55.3F
Aug.,14,30,61F
Jun.,14,29,57.9F
May,08,8,-196.9F
Dec.,11,30,40.9F
Dec.,99,20,32.4F
Mar.,11,6,35.7F
Mar.,98,9,36.1F
Jul.,16,30,63.8F
Jun.,99,9,56.8F
Dec.,09,1,40.6F
Aug.,02,14,69.3F
Nov.,01,18,40.5F
Dec.,01,25,41.9F
Apr.,99,4,191.8F
Apr.,06,25,57.9F
Mar.,12,5,36.1F
Nov.,96,27,174.3F
Sep.,98,5,62.1F
Jun.,13,21,61.7F
Jun.,19,29,74.7F
Mar.,99,22,41.9F
Oct.,00,27,52F
Oct.,15,27,-197.6F
Jun.,14,20,57.6F
Apr.,16,27,40.5F
May,10,12,42.6F
Dec.,98,28,46.4F
Aug.,07,29,54.6F
May,09,20,59.5F
Mar.,14,29,55F
Jan.,98,26,27.4F
Dec.,06,15,44.1F
Apr.,03,23,-176F
Mar.,17,23,47.5F
Nov.,95,25,49.3F
Jan.,98,24,199.9F
Sep.,14,6,194.2F
Sep.,97,5,62.8F
Feb.,00,4,-157.9F
Jun.,08,15,52.6F
Jul.,06,16,72.2F
Nov.,19,6,47.4F
Dec.,09,4,39.7F
Jul.,98,21,69.1F
Jul.,19,28,63F
Aug.,16,18,64.7F
Mar.,01,31,49.1F
Jan.,01,21,32F
Jul.,02,22,63.7F
Feb.,18,2,38.5F
Jul.,10,27,63.7F
Mar.,06,20,38.9F
Sep.,18,16,61.9F
Oct.,10,5,60.8F
Apr.,99,28,55.2F
Nov.,95,29,40.7F
Aug.,04,21,58.3F
Feb.,06,3,27.9F
Oct.,05,14,161F
Apr.,05,7,NA
Sep.,03,3,58.3F
Sep.,13,28,53.8F
Nov.,17,29,36.9F
Oct.,12,5,57.1F
Jun.,09,17,63.7F
Apr.,99,10,51.7F
May,96,9,46.6F
Oct.,13,16,50.3F
Dec.,08,7,39.2F
Aug.,18,8,66.9F
Sep.,09,1,64.3F
Dec.,17,29,36.6F
Mar.,06,10,41.2F
Oct.,99,23,56.2F
Jun.,98,7,61.3F
Apr.,12,26,51.6F
Oct.,18,11,155.2F
Nov.,19,7,45.3F
Apr.,08,18,46.7F
Feb.,96,24,37.6F
Feb.,13,20,33.2F
Mar.,04,20,52.7F
Sep.,96,13,52.4F
Jan.,01,26,42.8F
Feb.,08,13,33.6F
Apr.,16,30,45.8F
Jul.,09,27,65.3F
Sep.,15,29,51.2F
Jan.,07,26,32.3F
Jan.,18,27,41F
Nov.,02,23,47.2F
Apr.,01,26,51.2F
Jul.,01,7,67.1F
May,15,23,NA
Oct.,15,10,49.3F
Dec.,11,15,42.5F
Feb.,15,4,33.1F
Sep.,96,3,57.3F
May,14,10,52.6F
Mar.,02,5,43.1F
Dec.,09,3,46.7F
Jun.,09,23,NA
Jul.,07,19,65.2F
Apr.,20,5,56.7F
Apr.,15,11,50.5F
Nov.,06,15,55.5F
Sep.,08,22,55.1F
Jul.,15,3,76.6F
May,11,15,53.7F
Aug.,08,20,61.4F
Feb.,02,3,53.2F
Jul.,18,14,68.6F
Mar.,18,31,44.7F
Jun.,17,18,70.3F
Oct.,98,2,172.7F
Mar.,13,27,34.4F
Sep.,01,18,51.4F
Jul.,03,25,65.7F
Oct.,13,10,47.9F
Mar.,97,23,44.5F
Jun.,19,20,-185.7F
Dec.,10,17,27.7F
Nov.,04,20,188.6F
Apr.,10,5,45F
Sep.,16,27,58.3F
Mar.,06,8,43.1F
Jul.,10,1,74.2F
Aug.,05,28,63.4F
Mar.,16,8,36.9F
Jul.,98,30,61.8F
Sep.,13,18,53.2F
Aug.,14,19,55.8F
Mar.,20,9,46.1F
Dec.,14,6,40.2F
Jul.,09,20,-185.1F
Oct.,09,24,53.2F
Nov.,99,9,49.9F
Aug.,06,16,62.9F
Oct.,14,1,61.4F
Jun.,95,16,54.3F
Jun.,17,13,NA
Aug.,96,27,59.1F
Jun.,98,10,60.4F
Dec.,15,24,50.3F
Jan.,16,9,43.1F
Sep.,04,14,58.6F
Jan.,06,17,42.9F
Feb.,08,23,49.5F
Dec.,12,21,46.6F
Jul.,03,18,70.2F
Oct.,05,12,61.6F
Aug.,04,27,59.6F
Apr.,00,26,59.4F
Mar.,10,31,43.6F
Apr.,08,23,53F
Sep.,01,28,60.3F
Apr.,99,5,56F
Oct.,14,2,61.3F
Mar.,18,9,44F
Dec.,05,12,39.9F
Dec.,08,31,26F
Sep.,11,12,62.6F
May,13,31,55.5F
Apr.,11,12,NA
Oct.,13,8,57.7F
Feb.,09,12,34.6F
Dec.,14,5,38.4F
Jul.,01,14,NA
Jan.,12,16,31.6F
Apr.,13,22,47.8F
Nov.,07,23,42.3F
Sep.,16,11,67.7F
Mar.,08,26,40.6F
Sep.,14,26,58.6F
Jul.,03,4,61.9F
Nov.,06,2,41F
Feb.,99,3,NA
Nov.,19,20,34.9F
Sep.,97,8,60.5F
Oct.,08,21,50.9F
Jan.,05,12,47.2F
Aug.,99,18,60.3F
Apr.,04,24,51F
Nov.,95,3,46.7F
Jan.,08,14,44.9F
Feb.,17,24,40.6F
Apr.,19,7,55.6F
Apr.,17,12,49.9F
Jan.,08,11,49.9F
Jun.,98,11,56.2F
Nov.,95,17,38.8F
Jan.,16,31,44.1F
Feb.,96,13,34F
Apr.,96,2,34.2F
Jan.,03,5,29.4F
May,12,9,60.9F
Dec.,13,8,45.3F
Jan.,03,17,38F
May,19,3,47.8F
May,99,24,58.3F
Jan.,07,18,52.1F
Jun.,16,16,56.7F
Mar.,11,3,34.2F
May,19,25,55.3F
Nov.,19,12,41F
Sep.,10,29,55.7F
Feb.,14,1,42.7F
Dec.,17,19,40.2F
Sep.,17,12,57.6F
Mar.,19,19,42.8F
Apr.,12,1,40.9F
Jul.,98,25,60.2F
Nov.,06,28,52.7F
Nov.,15,10,56.1F
Oct.,17,21,55.8F
Nov.,18,24,37.7F
May,13,13,52F
Mar.,16,23,44F
Apr.,18,16,53.7F
Feb.,05,23,-199.3F
Dec.,04,30,43.9F
Jan.,99,27,41F
Sep.,12,26,55.2F
Jan.,19,20,28.1F
Mar.,14,30,56.6F
Feb.,09,15,NA
Jun.,95,22,NA
Dec.,02,20,34.3F
Mar.,03,20,41.9F
May,05,3,57.8F
Dec.,16,19,41.9F
Apr.,02,13,44.5F
May,06,18,60.8F
Sep.,07,28,54.4F
Apr.,03,27,54.3F
Jun.,13,8,60.9F
Jul.,04,29,70.4F
Jun.,06,14,64.3F
Apr.,05,28,55.9F
Jun.,01,24,69.1F
Sep.,12,1,56.8F
Oct.,10,16,46.3F
Jun.,97,6,70F
May,97,22,51.4F
Jun.,17,2,69.3F
Jul.,14,27,69.8F
Nov.,01,3,46.8F
Apr.,01,6,53F
Jun.,18,2,62.3F
Jun.,10,15,57.8F
Sep.,15,20,56.1F
Jan.,14,20,42.3F
Mar.,00,30,43.1F
Apr.,19,2,50.5F
Aug.,13,27,64.1F
Jan.,07,10,51F
Dec.,06,27,32.2F
Mar.,04,8,36.9F
Jul.,02,25,64.6F
Apr.,06,10,40.6F
Oct.,13,26,62.3F
Dec.,05,27,29.1F
Dec.,02,19,32.2F
Jun.,12,17,NA
Apr.,07,10,52.6F
Feb.,13,26,36.1F
Nov.,97,13,41.5F
Apr.,14,22,-189.7F
Oct.,06,22,59.2F
Mar.,14,23,42.1F
Jan.,05,15,35.1F
Jul.,11,26,58.4F
Aug.,00,27,63.5F
Jul.,04,22,71.3F
Oct.,04,29,53.2F
Nov.,08,30,35.5F
Jun.,95,7,53.3F
Jul.,14,16,NA
Jan.,09,16,35.7F
Aug.,02,28,67.7F
Jan.,99,25,51.5F
Apr.,19,25,52.8F
Mar.,18,11,53.2F
Apr.,00,4,51F
Jun.,15,30,70.4F
Oct.,02,9,46.8F
Apr.,95,1,52.8F
Apr.,95,5,49.8F
Jul.,02,29,76.1F
Jul.,98,15,59.8F
Feb.,07,14,44F
Nov.,11,18,46.7F
Mar.,19,25,44.9F
Mar.,10,13,NA
Mar.,04,2,37.2F
Apr.,06,11,41.1F
Aug.,00,3,-175.1F
May,02,10,56.6F
Jan.,98,30,34.4F
Jul.,14,18,78.4F
Oct.,09,15,42.1F
Aug.,18,19,66.5F
Apr.,01,18,42.2F
Jan.,96,15,41.1F
Feb.,11,7,47.8F
Jan.,99,26,42.9F
Jun.,13,1,51.1F
May,08,15,NA
Jan.,16,14,153.7F
Apr.,01,11,46.7F
Jul.,06,9,68.8F
Aug.,96,28,56.8F
Mar.,16,14,37F
Feb.,04,25,34.4F
Mar.,98,5,178F
Aug.,02,24,60.9F
Aug.,18,16,68F
Jun.,19,9,57.4F
Oct.,13,25,59.8F
Dec.,08,24,43.2F
Mar.,95,8,40.3F
Feb.,04,12,41.7F
Jun.,98,18,60.4F
Feb.,07,24,48.8F
Oct.,05,27,177F
Jan.,19,1,44.5F
Dec.,08,2,38.2F
Jun.,07,5,63.9F
Dec.,09,2,41.2F
Mar.,06,26,57.6F
Feb.,03,16,31.4F
Nov.,07,14,38.1F
Sep.,99,29,61.4F
Oct.,04,26,49.9F
Jun.,09,26,68.7F
Mar.,11,9,45F
Nov.,04,18,163F
Dec.,04,16,42.1F
Jan.,03,28,43.1F
Apr.,95,12,50.6F
Jan.,10,29,35.5F
Oct.,08,29,38.3F
Jul.,02,31,69F
Nov.,14,26,43.8F
Sep.,09,8,69.7F
Sep.,99,17,59.2F
Dec.,19,23,46F
Jun.,02,7,57.2F
Apr.,20,2,42.4F
Feb.,96,16,42F
Apr.,12,3,NA
Apr.,14,6,169.1F
May,10,14,46.8F
May,16,4,50.3F
Apr.,07,13,191.9F
Jul.,98,20,75.5F
Apr.,12,21,44.5F
Jul.,11,30,57F
Jan.,00,3,46.2F
Jun.,15,7,56.8F
Feb.,10,13,26.8F
Aug.,95,25,66.7F
Mar.,19,26,45.3F
Apr.,13,5,36.3F
May,04,3,176.2F
Feb.,12,12,22.9F
Aug.,09,11,65.2F
Dec.,03,7,29.7F
Jul.,07,6,NA
Aug.,98,2,60.6F
Jul.,98,6,60.7F
Dec.,14,12,46.8F
Dec.,05,13,43F
Jan.,07,4,48.7F
Sep.,08,9,64.7F
Oct.,15,14,39.4F
Dec.,06,7,NA
Feb.,03,3,39.8F
Feb.,05,25,30F
Apr.,05,30,63.1F
Mar.,11,19,NA
Sep.,15,19,56.1F
Mar.,09,9,41.2F
Jun.,18,29,70.5F
Apr.,15,30,48.3F
Jul.,09,26,65.1F
Dec.,14,19,48.1F
Oct.,03,8,188.2F
Dec.,13,30,40.9F
Jun.,19,2,72.9F
Apr.,06,1,51.4F
Jul.,13,7,68.4F
Oct.,97,5,57F
Dec.,15,16,53.5F
Mar.,95,7,-169.6F
Jul.,96,28,65.4F
Oct.,17,10,57.5F
Apr.,95,8,43.6F
Nov.,19,24,43.4F
Apr.,08,9,42.2F
Jan.,18,7,-152.4F
Jan.,12,23,-169.1F
Jul.,00,12,NA
Apr.,99,12,47.4F
Jan.,13,4,47.6F
Aug.,18,29,60.2F
May,13,5,56F
Nov.,98,5,185.6F
Dec.,05,21,40.4F
Apr.,12,18,45.8F
May,12,30,62.2F
Oct.,98,10,52.1F
Jul.,18,8,66.7F
May,96,30,69F
Sep.,00,6,58.6F
Jun.,14,26,61.5F
Jul.,99,21,-168F
Jul.,07,21,NA
Jan.,05,29,34.9F
Mar.,07,14,-162.1F
Aug.,95,16,67.6F
Apr.,19,27,166.1F
May,17,27,72.2F
Jul.,01,2,66F
Mar.,06,4,31.9F
Aug.,18,9,62.7F
